bølgelængde/nm	A(2,0 mM)	A(4,0 mM)	A(6,0 mM)	A(8,0 mM)	A(10,0 mM)	A(12,0 mM)	A(grundvandsprøve)
400	0,278	0,614	0,825	1,159	1,446	1,691	0,889
401	0,280	0,619	0,830	1,167	1,453	1,707	0,897
402	0,285	0,628	0,836	1,186	1,467	1,721	0,907
403	0,287	0,632	0,847	1,199	1,477	1,744	0,918
404	0,291	0,638	0,854	1,207	1,498	1,758	0,926
405	0,293	0,640	0,859	1,214	1,513	1,775	0,934
406	0,294	0,645	0,862	1,226	1,521	1,784	0,940
407	0,295	0,649	0,867	1,228	1,525	1,787	0,949
408	0,296	0,650	0,870	1,235	1,519	1,802	0,953
409	0,297	0,652	0,873	1,237	1,538	1,811	0,958
410	0,297	0,652	0,872	1,243	1,541	1,809	0,960
411	0,297	0,654	0,872	1,245	1,542	1,818	0,960
412	0,297	0,651	0,871	1,243	1,533	1,801	0,961
413	0,297	0,651	0,868	1,236	1,538	1,810	0,957
414	0,298	0,652	0,867	1,238	1,536	1,799	0,955
415	0,298	0,652	0,867	1,239	1,534	1,802	0,953
416	0,296	0,649	0,858	1,232	1,516	1,784	0,948
417	0,297	0,645	0,856	1,227	1,517	1,789	0,948
418	0,295	0,640	0,850	1,214	1,499	1,761	0,937
419	0,293	0,637	0,848	1,216	1,502	1,773	0,938
420	0,291	0,634	0,836	1,202	1,486	1,753	0,932
