c(F)/(micro M)	v(uden DOPA)/(micro M/min)	v(med DOPA)/(micro M/min)
0,25	0,0044	0,0030
0,5	0,0087	0,0060
0,75	0,0130	0,0090
1	0,0172	0,0119
1,25	0,0214	0,0148
1,5	0,0255	0,0177
1,75	0,0296	0,0205
2	0,0337	0,0233
2,25	0,0377	0,0261
2,5	0,0417	0,0288
2,75	0,0456	0,0316
3	0,0495	0,0342
5	0,0791	0,0548
10	0,1436	0,0994
15	0,1973	0,1366
20	0,2426	0,1680
25	0,2814	0,1948
30	0,3149	0,2180
35	0,3443	0,2383
40	0,3701	0,2562
45	0,3931	0,2721
50	0,4136	0,2863
55	0,4320	0,2991
60	0,4487	0,3106
65	0,4639	0,3211
70	0,4777	0,3307
75	0,4904	0,3395
80	0,5020	0,3475
85	0,5128	0,3550
90	0,5227	0,3619
95	0,5319	0,3683
100	0,5405	0,3742
