Volumen/mL	pH
18,03	5,32
18,08	5,32
18,13	5,32
18,18	5,32
18,23	5,37
18,28	5,37
18,33	5,37
18,38	5,37
18,43	5,41
18,49	5,41
18,54	5,41
18,59	5,41
18,64	5,48
18,69	5,48
18,74	5,48
18,79	5,48
18,84	5,52
18,89	5,52
18,94	5,52
18,99	5,52
19,04	5,52
19,09	5,58
19,14	5,58
19,19	5,58
19,24	5,58
19,29	5,62
19,34	5,62
19,39	5,62
19,44	5,62
19,5	5,71
19,55	5,71
19,6	5,71
19,65	5,71
19,7	5,71
19,75	5,76
19,8	5,76
19,85	5,76
19,9	5,76
19,95	5,85
20	5,85
20,05	5,85
20,1	5,85
20,15	5,85
20,2	5,96
20,25	5,96
20,3	5,96
20,35	5,96
20,4	6,01
20,46	6,01
20,51	6,01
20,56	6,01
20,61	6,14
20,66	6,14
20,71	6,14
20,76	6,14
20,81	6,14
20,86	6,24
20,91	6,24
20,96	6,24
21,01	6,24
21,06	6,42
21,11	6,42
21,16	6,42
21,21	6,42
21,26	6,63
21,31	6,63
21,36	6,63
21,41	6,63
21,47	6,63
21,52	6,73
21,57	6,73
21,62	6,73
21,67	6,73
21,72	6,94
21,77	6,94
21,82	6,94
21,87	6,94
21,92	6,94
21,97	7,08
22,02	7,08
22,07	7,08
22,12	7,08
22,17	7,37
22,22	7,37
22,27	7,37
22,32	7,37
22,37	7,71
22,42	7,71
22,48	7,71
22,53	7,71
22,58	7,71
22,63	7,87
22,68	7,87
22,73	7,87
22,78	7,87
22,83	8,18
22,88	8,18
22,93	8,18
22,98	8,18
23,03	8,18
23,08	8,54
23,13	8,54
23,18	8,54
23,23	8,54
23,28	8,88
23,33	8,88
23,38	8,88
23,43	8,88
23,49	8,88
23,54	9,03
23,59	9,03
23,64	9,03
23,69	9,03
23,74	9,03
23,79	9,36
23,84	9,36
23,89	9,36
23,94	9,36
23,99	9,69
24,04	9,69
24,09	9,69
24,14	9,69
24,19	9,69
24,24	10
24,29	10
24,34	10
24,39	10
24,44	10,13
24,5	10,13
24,55	10,13
24,6	10,13
24,65	10,13
24,7	10,34
24,75	10,34
24,8	10,34
24,85	10,34
24,9	10,34
24,95	10,59
25	10,59
25,05	10,59
25,1	10,59
25,15	10,59
25,2	10,81
25,25	10,81
25,3	10,81
25,35	10,81
25,4	11,01
25,46	11,01
25,51	11,01
25,56	11,01
25,61	11,01
25,66	11,11
25,71	11,11
25,76	11,11
25,81	11,11
25,86	11,28
25,91	11,28
25,96	11,28
26,01	11,28
26,06	11,28
26,11	11,28
26,16	11,28
26,21	11,28
26,26	11,41
26,31	11,41
26,36	11,41
26,41	11,41
26,47	11,41
26,52	11,53
26,57	11,53
26,62	11,53
26,67	11,53
26,72	11,53
26,77	11,53
26,82	11,53
26,87	11,63
26,92	11,63
26,97	11,63
27,02	11,63
27,07	11,63
27,12	11,63
27,17	11,63
27,22	11,63
27,27	11,63
27,32	11,7
27,37	11,7
27,42	11,7
27,48	11,7
27,53	11,7
27,58	11,7
27,63	11,76
27,68	11,76
27,73	11,76
27,78	11,76
27,83	11,83
27,88	11,83
27,93	11,83
27,98	11,83
28,03	11,83
